"","DataItemLong","County","State","year","OrchardAc","StateFips","CountyCode","StateCountyFips"
"322.1987","Land in orchards, total (acres)","CLAY COUNTY"," FL","1987",52,"12","019","12019"
"323.1987","Land in orchards, total (acres)","COLLIER COUNTY"," FL","1987",11412,"12","021","12021"
"324.1987","Land in orchards, total (acres)","COLUMBIA COUNTY"," FL","1987",330,"12","023","12023"
"325.1987","Land in orchards, total (acres)","DADE COUNTY"," FL","1987",17452,"12","025","12025"
"326.1987","Land in orchards, total (acres)","DE SOTO COUNTY"," FL","1987",40164,"12","027","12027"
"327.1987","Land in orchards, total (acres)","DIXIE COUNTY"," FL","1987",-9999,"12","029","12029"
"328.1987","Land in orchards, total (acres)","DUVAL COUNTY"," FL","1987",276,"12","031","12031"
"329.1987","Land in orchards, total (acres)","ESCAMBIA COUNTY"," FL","1987",667,"12","033","12033"
"330.1987","Land in orchards, total (acres)","FLAGLER COUNTY"," FL","1987",-9999,"12","035","12035"
"331.1987","Land in orchards, total (acres)","FRANKLIN COUNTY"," FL","1987",-9999,"12","037","12037"
"332.1987","Land in orchards, total (acres)","GADSDEN COUNTY"," FL","1987",455,"12","039","12039"
"333.1987","Land in orchards, total (acres)","GILCHRIST COUNTY"," FL","1987",282,"12","041","12041"
"334.1987","Land in orchards, total (acres)","GLADES COUNTY"," FL","1987",5522,"12","043","12043"
"335.1987","Land in orchards, total (acres)","GULF COUNTY"," FL","1987",-9999,"12","045","12045"
"336.1987","Land in orchards, total (acres)","HAMILTON COUNTY"," FL","1987",142,"12","047","12047"
"337.1987","Land in orchards, total (acres)","HARDEE COUNTY"," FL","1987",44495,"12","049","12049"
"338.1987","Land in orchards, total (acres)","HENDRY COUNTY"," FL","1987",57975,"12","051","12051"
"339.1987","Land in orchards, total (acres)","HERNANDO COUNTY"," FL","1987",1084,"12","053","12053"
"340.1987","Land in orchards, total (acres)","HIGHLANDS COUNTY"," FL","1987",48931,"12","055","12055"
"341.1987","Land in orchards, total (acres)","HILLSBOROUGH COUNTY"," FL","1987",28431,"12","057","12057"
"342.1987","Land in orchards, total (acres)","HOLMES COUNTY"," FL","1987",293,"12","059","12059"
"343.1987","Land in orchards, total (acres)","INDIAN RIVER COUNTY"," FL","1987",68029,"12","061","12061"
"344.1987","Land in orchards, total (acres)","JACKSON COUNTY"," FL","1987",895,"12","063","12063"
"345.1987","Land in orchards, total (acres)","JEFFERSON COUNTY"," FL","1987",2080,"12","065","12065"
"346.1987","Land in orchards, total (acres)","LAFAYETTE COUNTY"," FL","1987",99,"12","067","12067"
"347.1987","Land in orchards, total (acres)","LAKE COUNTY"," FL","1987",31893,"12","069","12069"
"348.1987","Land in orchards, total (acres)","LEE COUNTY"," FL","1987",6259,"12","071","12071"
"349.1987","Land in orchards, total (acres)","LEON COUNTY"," FL","1987",251,"12","073","12073"
"350.1987","Land in orchards, total (acres)","LEVY COUNTY"," FL","1987",155,"12","075","12075"
"351.1987","Land in orchards, total (acres)","LIBERTY COUNTY"," FL","1987",60,"12","077","12077"
"352.1987","Land in orchards, total (acres)","MADISON COUNTY"," FL","1987",1101,"12","079","12079"
"353.1987","Land in orchards, total (acres)","MANATEE COUNTY"," FL","1987",16440,"12","081","12081"
"354.1987","Land in orchards, total (acres)","MARION COUNTY"," FL","1987",2076,"12","083","12083"
"355.1987","Land in orchards, total (acres)","MARTIN COUNTY"," FL","1987",54027,"12","085","12085"
"356.1987","Land in orchards, total (acres)","MONROE COUNTY"," FL","1987",-9999,"12","087","12087"
"357.1987","Land in orchards, total (acres)","NASSAU COUNTY"," FL","1987",124,"12","089","12089"
"358.1987","Land in orchards, total (acres)","OKALOOSA COUNTY"," FL","1987",521,"12","091","12091"
"359.1987","Land in orchards, total (acres)","OKEECHOBEE COUNTY"," FL","1987",9370,"12","093","12093"
"360.1987","Land in orchards, total (acres)","ORANGE COUNTY"," FL","1987",20325,"12","095","12095"
"361.1987","Land in orchards, total (acres)","OSCEOLA COUNTY"," FL","1987",15403,"12","097","12097"
"362.1987","Land in orchards, total (acres)","PALM BEACH COUNTY"," FL","1987",17902,"12","099","12099"
"363.1987","Land in orchards, total (acres)","PASCO COUNTY"," FL","1987",12032,"12","101","12101"
"364.1987","Land in orchards, total (acres)","PINELLAS COUNTY"," FL","1987",615,"12","103","12103"
"365.1987","Land in orchards, total (acres)","POLK COUNTY"," FL","1987",120739,"12","105","12105"
"366.1987","Land in orchards, total (acres)","PUTNAM COUNTY"," FL","1987",451,"12","107","12107"
"367.1987","Land in orchards, total (acres)","ST JOHNS COUNTY"," FL","1987",15,"12","109","12109"
"368.1987","Land in orchards, total (acres)","ST LUCIE COUNTY"," FL","1987",91570,"12","111","12111"
"369.1987","Land in orchards, total (acres)","SANTA ROSA COUNTY"," FL","1987",520,"12","113","12113"
"370.1987","Land in orchards, total (acres)","SARASOTA COUNTY"," FL","1987",1877,"12","115","12115"
"371.1987","Land in orchards, total (acres)","SEMINOLE COUNTY"," FL","1987",2558,"12","117","12117"
"372.1987","Land in orchards, total (acres)","SUMTER COUNTY"," FL","1987",187,"12","119","12119"
"373.1987","Land in orchards, total (acres)","SUWANNEE COUNTY"," FL","1987",756,"12","121","12121"
"374.1987","Land in orchards, total (acres)","TAYLOR COUNTY"," FL","1987",14,"12","123","12123"
"375.1987","Land in orchards, total (acres)","UNION COUNTY"," FL","1987",340,"12","125","12125"
"376.1987","Land in orchards, total (acres)","VOLUSIA COUNTY"," FL","1987",2189,"12","127","12127"
"377.1987","Land in orchards, total (acres)","WAKULLA COUNTY"," FL","1987",-9999,"12","129","12129"
"378.1987","Land in orchards, total (acres)","WALTON COUNTY"," FL","1987",802,"12","131","12131"
"379.1987","Land in orchards, total (acres)","WASHINGTON COUNTY"," FL","1987",92,"12","133","12133"
"380.1987","Land in orchards, total (acres)","ALL OTHER COUNTIES"," FL","1987",-9999,"12","998","12998"
"382.1987","Land in orchards, total (acres)","APPLING COUNTY"," GA","1987",453,"13","001","13001"
"383.1987","Land in orchards, total (acres)","ATKINSON COUNTY"," GA","1987",131,"13","003","13003"
"384.1987","Land in orchards, total (acres)","BACON COUNTY"," GA","1987",349,"13","005","13005"
"385.1987","Land in orchards, total (acres)","BAKER COUNTY"," GA","1987",260,"13","007","13007"
"386.1987","Land in orchards, total (acres)","BALDWIN COUNTY"," GA","1987",96,"13","009","13009"
"387.1987","Land in orchards, total (acres)","BANKS COUNTY"," GA","1987",184,"13","011","13011"
"388.1987","Land in orchards, total (acres)","BARROW COUNTY"," GA","1987",108,"13","013","13013"
"389.1987","Land in orchards, total (acres)","BARTOW COUNTY"," GA","1987",140,"13","015","13015"
"390.1987","Land in orchards, total (acres)","BEN HILL COUNTY"," GA","1987",694,"13","017","13017"
"391.1987","Land in orchards, total (acres)","BERRIEN COUNTY"," GA","1987",2280,"13","019","13019"
"392.1987","Land in orchards, total (acres)","BIBB COUNTY"," GA","1987",339,"13","021","13021"
"393.1987","Land in orchards, total (acres)","BLECKLEY COUNTY"," GA","1987",1245,"13","023","13023"
"394.1987","Land in orchards, total (acres)","BRANTLEY COUNTY"," GA","1987",96,"13","025","13025"
"395.1987","Land in orchards, total (acres)","BROOKS COUNTY"," GA","1987",4399,"13","027","13027"
"396.1987","Land in orchards, total (acres)","BRYAN COUNTY"," GA","1987",-9999,"13","029","13029"
"397.1987","Land in orchards, total (acres)","BULLOCH COUNTY"," GA","1987",1010,"13","031","13031"
"398.1987","Land in orchards, total (acres)","BURKE COUNTY"," GA","1987",1096,"13","033","13033"
"399.1987","Land in orchards, total (acres)","BUTTS COUNTY"," GA","1987",133,"13","035","13035"
"400.1987","Land in orchards, total (acres)","CALHOUN COUNTY"," GA","1987",3955,"13","037","13037"
"401.1987","Land in orchards, total (acres)","CAMDEN COUNTY"," GA","1987",37,"13","039","13039"
"402.1987","Land in orchards, total (acres)","CANDLER COUNTY"," GA","1987",510,"13","043","13043"
"403.1987","Land in orchards, total (acres)","CARROLL COUNTY"," GA","1987",121,"13","045","13045"
"404.1987","Land in orchards, total (acres)","CATOOSA COUNTY"," GA","1987",11,"13","047","13047"
"405.1987","Land in orchards, total (acres)","CHARLTON COUNTY"," GA","1987",61,"13","049","13049"
"406.1987","Land in orchards, total (acres)","CHATHAM COUNTY"," GA","1987",-9999,"13","051","13051"
"407.1987","Land in orchards, total (acres)","CHATTAHOOCHEE COUNTY"," GA","1987",-9999,"13","053","13053"
"408.1987","Land in orchards, total (acres)","CHATTOOGA COUNTY"," GA","1987",59,"13","055","13055"
"409.1987","Land in orchards, total (acres)","CHEROKEE COUNTY"," GA","1987",51,"13","057","13057"
"410.1987","Land in orchards, total (acres)","CLARKE COUNTY"," GA","1987",-9999,"13","059","13059"
"411.1987","Land in orchards, total (acres)","CLAY COUNTY"," GA","1987",-9999,"13","061","13061"
"412.1987","Land in orchards, total (acres)","CLAYTON COUNTY"," GA","1987",-9999,"13","063","13063"
"413.1987","Land in orchards, total (acres)","CLINCH COUNTY"," GA","1987",69,"13","065","13065"
"414.1987","Land in orchards, total (acres)","COBB COUNTY"," GA","1987",68,"13","067","13067"
"415.1987","Land in orchards, total (acres)","COFFEE COUNTY"," GA","1987",501,"13","069","13069"
"416.1987","Land in orchards, total (acres)","COLQUITT COUNTY"," GA","1987",1905,"13","071","13071"
"417.1987","Land in orchards, total (acres)","COLUMBIA COUNTY"," GA","1987",18,"13","073","13073"
"418.1987","Land in orchards, total (acres)","COOK COUNTY"," GA","1987",228,"13","075","13075"
"419.1987","Land in orchards, total (acres)","COWETA COUNTY"," GA","1987",275,"13","077","13077"
"420.1987","Land in orchards, total (acres)","CRAWFORD COUNTY"," GA","1987",2752,"13","079","13079"
"421.1987","Land in orchards, total (acres)","CRISP COUNTY"," GA","1987",4869,"13","081","13081"
"422.1987","Land in orchards, total (acres)","DADE COUNTY"," GA","1987",13,"13","083","13083"
"423.1987","Land in orchards, total (acres)","DAWSON COUNTY"," GA","1987",-9999,"13","085","13085"
"424.1987","Land in orchards, total (acres)","DECATUR COUNTY"," GA","1987",1088,"13","087","13087"
"425.1987","Land in orchards, total (acres)","DE KALB COUNTY"," GA","1987",-9999,"13","089","13089"
"426.1987","Land in orchards, total (acres)","DODGE COUNTY"," GA","1987",177,"13","091","13091"
"427.1987","Land in orchards, total (acres)","DOOLY COUNTY"," GA","1987",2732,"13","093","13093"
"428.1987","Land in orchards, total (acres)","DOUGHERTY COUNTY"," GA","1987",16025,"13","095","13095"
"429.1987","Land in orchards, total (acres)","DOUGLAS COUNTY"," GA","1987",-9999,"13","097","13097"
"430.1987","Land in orchards, total (acres)","EARLY COUNTY"," GA","1987",608,"13","099","13099"
"431.1987","Land in orchards, total (acres)","ECHOLS COUNTY"," GA","1987",26,"13","101","13101"
"432.1987","Land in orchards, total (acres)","EFFINGHAM COUNTY"," GA","1987",83,"13","103","13103"
"433.1987","Land in orchards, total (acres)","ELBERT COUNTY"," GA","1987",47,"13","105","13105"
"434.1987","Land in orchards, total (acres)","EMANUEL COUNTY"," GA","1987",1029,"13","107","13107"
"435.1987","Land in orchards, total (acres)","EVANS COUNTY"," GA","1987",430,"13","109","13109"
"436.1987","Land in orchards, total (acres)","FANNIN COUNTY"," GA","1987",-9999,"13","111","13111"
"437.1987","Land in orchards, total (acres)","FAYETTE COUNTY"," GA","1987",43,"13","113","13113"
"438.1987","Land in orchards, total (acres)","FLOYD COUNTY"," GA","1987",27,"13","115","13115"
"439.1987","Land in orchards, total (acres)","FORSYTH COUNTY"," GA","1987",107,"13","117","13117"
"440.1987","Land in orchards, total (acres)","FRANKLIN COUNTY"," GA","1987",87,"13","119","13119"
"441.1987","Land in orchards, total (acres)","FULTON COUNTY"," GA","1987",37,"13","121","13121"
"442.1987","Land in orchards, total (acres)","GILMER COUNTY"," GA","1987",903,"13","123","13123"
"443.1987","Land in orchards, total (acres)","GLASCOCK COUNTY"," GA","1987",33,"13","125","13125"
"444.1987","Land in orchards, total (acres)","GLYNN COUNTY"," GA","1987",-9999,"13","127","13127"
"445.1987","Land in orchards, total (acres)","GORDON COUNTY"," GA","1987",14,"13","129","13129"
"446.1987","Land in orchards, total (acres)","GRADY COUNTY"," GA","1987",2480,"13","131","13131"
"447.1987","Land in orchards, total (acres)","GREENE COUNTY"," GA","1987",38,"13","133","13133"
"448.1987","Land in orchards, total (acres)","GWINNETT COUNTY"," GA","1987",86,"13","135","13135"
"449.1987","Land in orchards, total (acres)","HABERSHAM COUNTY"," GA","1987",486,"13","137","13137"
"450.1987","Land in orchards, total (acres)","HALL COUNTY"," GA","1987",182,"13","139","13139"
"451.1987","Land in orchards, total (acres)","HANCOCK COUNTY"," GA","1987",447,"13","141","13141"
"452.1987","Land in orchards, total (acres)","HARALSON COUNTY"," GA","1987",38,"13","143","13143"
"453.1987","Land in orchards, total (acres)","HARRIS COUNTY"," GA","1987",182,"13","145","13145"
"454.1987","Land in orchards, total (acres)","HART COUNTY"," GA","1987",192,"13","147","13147"
"455.1987","Land in orchards, total (acres)","HEARD COUNTY"," GA","1987",22,"13","149","13149"
"456.1987","Land in orchards, total (acres)","HENRY COUNTY"," GA","1987",228,"13","151","13151"
"457.1987","Land in orchards, total (acres)","HOUSTON COUNTY"," GA","1987",3679,"13","153","13153"
"458.1987","Land in orchards, total (acres)","IRWIN COUNTY"," GA","1987",600,"13","155","13155"
"459.1987","Land in orchards, total (acres)","JACKSON COUNTY"," GA","1987",38,"13","157","13157"
"460.1987","Land in orchards, total (acres)","JASPER COUNTY"," GA","1987",260,"13","159","13159"
"461.1987","Land in orchards, total (acres)","JEFF DAVIS COUNTY"," GA","1987",-9999,"13","161","13161"
"462.1987","Land in orchards, total (acres)","JEFFERSON COUNTY"," GA","1987",1098,"13","163","13163"
"463.1987","Land in orchards, total (acres)","JENKINS COUNTY"," GA","1987",363,"13","165","13165"
"464.1987","Land in orchards, total (acres)","JOHNSON COUNTY"," GA","1987",127,"13","167","13167"
"465.1987","Land in orchards, total (acres)","JONES COUNTY"," GA","1987",470,"13","169","13169"
"466.1987","Land in orchards, total (acres)","LAMAR COUNTY"," GA","1987",590,"13","171","13171"
"467.1987","Land in orchards, total (acres)","LANIER COUNTY"," GA","1987",1236,"13","173","13173"
"468.1987","Land in orchards, total (acres)","LAURENS COUNTY"," GA","1987",227,"13","175","13175"
"469.1987","Land in orchards, total (acres)","LEE COUNTY"," GA","1987",9129,"13","177","13177"
"470.1987","Land in orchards, total (acres)","LIBERTY COUNTY"," GA","1987",-9999,"13","179","13179"
"471.1987","Land in orchards, total (acres)","LINCOLN COUNTY"," GA","1987",12,"13","181","13181"
"472.1987","Land in orchards, total (acres)","LONG COUNTY"," GA","1987",8,"13","183","13183"
"473.1987","Land in orchards, total (acres)","LOWNDES COUNTY"," GA","1987",1488,"13","185","13185"
"474.1987","Land in orchards, total (acres)","LUMPKIN COUNTY"," GA","1987",22,"13","187","13187"
"475.1987","Land in orchards, total (acres)","MCDUFFIE COUNTY"," GA","1987",474,"13","189","13189"
"476.1987","Land in orchards, total (acres)","MCINTOSH COUNTY"," GA","1987",-9999,"13","191","13191"
"477.1987","Land in orchards, total (acres)","MACON COUNTY"," GA","1987",5972,"13","193","13193"
"478.1987","Land in orchards, total (acres)","MADISON COUNTY"," GA","1987",48,"13","195","13195"
"479.1987","Land in orchards, total (acres)","MARION COUNTY"," GA","1987",245,"13","197","13197"
"480.1987","Land in orchards, total (acres)","MERIWETHER COUNTY"," GA","1987",598,"13","199","13199"
"481.1987","Land in orchards, total (acres)","MILLER COUNTY"," GA","1987",285,"13","201","13201"
"482.1987","Land in orchards, total (acres)","MITCHELL COUNTY"," GA","1987",15598,"13","205","13205"
"483.1987","Land in orchards, total (acres)","MONROE COUNTY"," GA","1987",102,"13","207","13207"
"484.1987","Land in orchards, total (acres)","MONTGOMERY COUNTY"," GA","1987",962,"13","209","13209"
"485.1987","Land in orchards, total (acres)","MORGAN COUNTY"," GA","1987",411,"13","211","13211"
"486.1987","Land in orchards, total (acres)","MURRAY COUNTY"," GA","1987",-9999,"13","213","13213"
"487.1987","Land in orchards, total (acres)","MUSCOGEE COUNTY"," GA","1987",-9999,"13","215","13215"
"488.1987","Land in orchards, total (acres)","NEWTON COUNTY"," GA","1987",47,"13","217","13217"
"489.1987","Land in orchards, total (acres)","OCONEE COUNTY"," GA","1987",161,"13","219","13219"
"490.1987","Land in orchards, total (acres)","OGLETHORPE COUNTY"," GA","1987",68,"13","221","13221"
"491.1987","Land in orchards, total (acres)","PAULDING COUNTY"," GA","1987",46,"13","223","13223"
"492.1987","Land in orchards, total (acres)","PEACH COUNTY"," GA","1987",12219,"13","225","13225"
"493.1987","Land in orchards, total (acres)","PICKENS COUNTY"," GA","1987",42,"13","227","13227"
"494.1987","Land in orchards, total (acres)","PIERCE COUNTY"," GA","1987",874,"13","229","13229"
"495.1987","Land in orchards, total (acres)","PIKE COUNTY"," GA","1987",485,"13","231","13231"
"496.1987","Land in orchards, total (acres)","POLK COUNTY"," GA","1987",35,"13","233","13233"
"497.1987","Land in orchards, total (acres)","PULASKI COUNTY"," GA","1987",1535,"13","235","13235"
"498.1987","Land in orchards, total (acres)","PUTNAM COUNTY"," GA","1987",16,"13","237","13237"
"499.1987","Land in orchards, total (acres)","QUITMAN COUNTY"," GA","1987",-9999,"13","239","13239"
"500.1987","Land in orchards, total (acres)","RABUN COUNTY"," GA","1987",197,"13","241","13241"
"501.1987","Land in orchards, total (acres)","RANDOLPH COUNTY"," GA","1987",459,"13","243","13243"
"502.1987","Land in orchards, total (acres)","RICHMOND COUNTY"," GA","1987",56,"13","245","13245"
"503.1987","Land in orchards, total (acres)","ROCKDALE COUNTY"," GA","1987",43,"13","247","13247"
"504.1987","Land in orchards, total (acres)","SCHLEY COUNTY"," GA","1987",199,"13","249","13249"
"505.1987","Land in orchards, total (acres)","SCREVEN COUNTY"," GA","1987",1361,"13","251","13251"
"506.1987","Land in orchards, total (acres)","SEMINOLE COUNTY"," GA","1987",882,"13","253","13253"
"507.1987","Land in orchards, total (acres)","SPALDING COUNTY"," GA","1987",314,"13","255","13255"
"508.1987","Land in orchards, total (acres)","STEPHENS COUNTY"," GA","1987",19,"13","257","13257"
"509.1987","Land in orchards, total (acres)","STEWART COUNTY"," GA","1987",245,"13","259","13259"
"510.1987","Land in orchards, total (acres)","SUMTER COUNTY"," GA","1987",4212,"13","261","13261"
"511.1987","Land in orchards, total (acres)","TALBOT COUNTY"," GA","1987",526,"13","263","13263"
"512.1987","Land in orchards, total (acres)","TALIAFERRO COUNTY"," GA","1987",-9999,"13","265","13265"
"513.1987","Land in orchards, total (acres)","TATTNALL COUNTY"," GA","1987",912,"13","267","13267"
"514.1987","Land in orchards, total (acres)","TAYLOR COUNTY"," GA","1987",3351,"13","269","13269"
"515.1987","Land in orchards, total (acres)","TELFAIR COUNTY"," GA","1987",1795,"13","271","13271"
"516.1987","Land in orchards, total (acres)","TERRELL COUNTY"," GA","1987",2769,"13","273","13273"
"517.1987","Land in orchards, total (acres)","THOMAS COUNTY"," GA","1987",5250,"13","275","13275"
"518.1987","Land in orchards, total (acres)","TIFT COUNTY"," GA","1987",1124,"13","277","13277"
"519.1987","Land in orchards, total (acres)","TOOMBS COUNTY"," GA","1987",343,"13","279","13279"
"520.1987","Land in orchards, total (acres)","TOWNS COUNTY"," GA","1987",17,"13","281","13281"
"521.1987","Land in orchards, total (acres)","TREUTLEN COUNTY"," GA","1987",36,"13","283","13283"
"522.1987","Land in orchards, total (acres)","TROUP COUNTY"," GA","1987",55,"13","285","13285"
"523.1987","Land in orchards, total (acres)","TURNER COUNTY"," GA","1987",192,"13","287","13287"
"524.1987","Land in orchards, total (acres)","TWIGGS COUNTY"," GA","1987",-9999,"13","289","13289"
"525.1987","Land in orchards, total (acres)","UNION COUNTY"," GA","1987",51,"13","291","13291"
"526.1987","Land in orchards, total (acres)","UPSON COUNTY"," GA","1987",485,"13","293","13293"
"527.1987","Land in orchards, total (acres)","WALKER COUNTY"," GA","1987",72,"13","295","13295"
"528.1987","Land in orchards, total (acres)","WALTON COUNTY"," GA","1987",186,"13","297","13297"
"529.1987","Land in orchards, total (acres)","WARE COUNTY"," GA","1987",931,"13","299","13299"
"530.1987","Land in orchards, total (acres)","WARREN COUNTY"," GA","1987",70,"13","301","13301"
"531.1987","Land in orchards, total (acres)","WASHINGTON COUNTY"," GA","1987",1780,"13","303","13303"
"532.1987","Land in orchards, total (acres)","WAYNE COUNTY"," GA","1987",489,"13","305","13305"
"533.1987","Land in orchards, total (acres)","WEBSTER COUNTY"," GA","1987",200,"13","307","13307"
"534.1987","Land in orchards, total (acres)","WHEELER COUNTY"," GA","1987",177,"13","309","13309"
"535.1987","Land in orchards, total (acres)","WHITE COUNTY"," GA","1987",-9999,"13","311","13311"
"536.1987","Land in orchards, total (acres)","WHITFIELD COUNTY"," GA","1987",6,"13","313","13313"
"537.1987","Land in orchards, total (acres)","WILCOX COUNTY"," GA","1987",1291,"13","315","13315"
"538.1987","Land in orchards, total (acres)","WILKES COUNTY"," GA","1987",618,"13","317","13317"
"539.1987","Land in orchards, total (acres)","WILKINSON COUNTY"," GA","1987",29,"13","319","13319"
"540.1987","Land in orchards, total (acres)","WORTH COUNTY"," GA","1987",1830,"13","321","13321"
"541.1987","Land in orchards, total (acres)","ALL OTHER COUNTIES"," GA","1987",-9999,"13","998","13998"
"543.1987","Land in orchards, total (acres)","HAWAII COUNTY"," HI","1987",28094,"15","001","15001"
"544.1987","Land in orchards, total (acres)","HONOLULU COUNTY"," HI","1987",1311,"15","003","15003"
"545.1987","Land in orchards, total (acres)","KAUAI COUNTY"," HI","1987",1768,"15","007","15007"
"546.1987","Land in orchards, total (acres)","MAUI COUNTY"," HI","1987",2391,"15","009","15009"
"547.1987","Land in orchards, total (acres)","ALL OTHER COUNTIES"," HI","1987",-9999,"15","998","15998"
"549.1987","Land in orchards, total (acres)","ADA COUNTY"," ID","1987",164,"16","001","16001"
"550.1987","Land in orchards, total (acres)","ADAMS COUNTY"," ID","1987",3,"16","003","16003"
"551.1987","Land in orchards, total (acres)","BANNOCK COUNTY"," ID","1987",60,"16","005","16005"
"552.1987","Land in orchards, total (acres)","BEAR LAKE COUNTY"," ID","1987",-9999,"16","007","16007"
"553.1987","Land in orchards, total (acres)","BENEWAH COUNTY"," ID","1987",-9999,"16","009","16009"
"554.1987","Land in orchards, total (acres)","BINGHAM COUNTY"," ID","1987",6,"16","011","16011"
"555.1987","Land in orchards, total (acres)","BLAINE COUNTY"," ID","1987",-9999,"16","013","16013"
"556.1987","Land in orchards, total (acres)","BOISE COUNTY"," ID","1987",-9999,"16","015","16015"
"557.1987","Land in orchards, total (acres)","BONNER COUNTY"," ID","1987",58,"16","017","16017"
"558.1987","Land in orchards, total (acres)","BONNEVILLE COUNTY"," ID","1987",11,"16","019","16019"
"559.1987","Land in orchards, total (acres)","BOUNDARY COUNTY"," ID","1987",8,"16","021","16021"
"560.1987","Land in orchards, total (acres)","BUTTE COUNTY"," ID","1987",-9999,"16","023","16023"
"561.1987","Land in orchards, total (acres)","CAMAS COUNTY"," ID","1987",-9999,"16","025","16025"
"562.1987","Land in orchards, total (acres)","CANYON COUNTY"," ID","1987",4052,"16","027","16027"
"563.1987","Land in orchards, total (acres)","CARIBOU COUNTY"," ID","1987",-9999,"16","029","16029"
"564.1987","Land in orchards, total (acres)","CASSIA COUNTY"," ID","1987",-9999,"16","031","16031"
"565.1987","Land in orchards, total (acres)","CLARK COUNTY"," ID","1987",-9999,"16","033","16033"
"566.1987","Land in orchards, total (acres)","CLEARWATER COUNTY"," ID","1987",-9999,"16","035","16035"
"567.1987","Land in orchards, total (acres)","CUSTER COUNTY"," ID","1987",-9999,"16","037","16037"
"568.1987","Land in orchards, total (acres)","ELMORE COUNTY"," ID","1987",-9999,"16","039","16039"
"569.1987","Land in orchards, total (acres)","FRANKLIN COUNTY"," ID","1987",9,"16","041","16041"
"570.1987","Land in orchards, total (acres)","FREMONT COUNTY"," ID","1987",-9999,"16","043","16043"
"571.1987","Land in orchards, total (acres)","GEM COUNTY"," ID","1987",2900,"16","045","16045"
"572.1987","Land in orchards, total (acres)","GOODING COUNTY"," ID","1987",32,"16","047","16047"
"573.1987","Land in orchards, total (acres)","IDAHO COUNTY"," ID","1987",119,"16","049","16049"
"574.1987","Land in orchards, total (acres)","JEFFERSON COUNTY"," ID","1987",41,"16","051","16051"
"575.1987","Land in orchards, total (acres)","JEROME COUNTY"," ID","1987",16,"16","053","16053"
"576.1987","Land in orchards, total (acres)","KOOTENAI COUNTY"," ID","1987",48,"16","055","16055"
"577.1987","Land in orchards, total (acres)","LATAH COUNTY"," ID","1987",104,"16","057","16057"
"578.1987","Land in orchards, total (acres)","LEMHI COUNTY"," ID","1987",18,"16","059","16059"
"579.1987","Land in orchards, total (acres)","LEWIS COUNTY"," ID","1987",-9999,"16","061","16061"
"580.1987","Land in orchards, total (acres)","LINCOLN COUNTY"," ID","1987",-9999,"16","063","16063"
"581.1987","Land in orchards, total (acres)","MADISON COUNTY"," ID","1987",-9999,"16","065","16065"
"582.1987","Land in orchards, total (acres)","MINIDOKA COUNTY"," ID","1987",-9999,"16","067","16067"
"583.1987","Land in orchards, total (acres)","NEZ PERCE COUNTY"," ID","1987",65,"16","069","16069"
"584.1987","Land in orchards, total (acres)","ONEIDA COUNTY"," ID","1987",-9999,"16","071","16071"
"585.1987","Land in orchards, total (acres)","OWYHEE COUNTY"," ID","1987",110,"16","073","16073"
"586.1987","Land in orchards, total (acres)","PAYETTE COUNTY"," ID","1987",4824,"16","075","16075"
"587.1987","Land in orchards, total (acres)","POWER COUNTY"," ID","1987",-9999,"16","077","16077"
"588.1987","Land in orchards, total (acres)","SHOSHONE COUNTY"," ID","1987",-9999,"16","079","16079"
"589.1987","Land in orchards, total (acres)","TETON COUNTY"," ID","1987",-9999,"16","081","16081"
"590.1987","Land in orchards, total (acres)","TWIN FALLS COUNTY"," ID","1987",157,"16","083","16083"
"591.1987","Land in orchards, total (acres)","VALLEY COUNTY"," ID","1987",-9999,"16","085","16085"
"592.1987","Land in orchards, total (acres)","WASHINGTON COUNTY"," ID","1987",313,"16","087","16087"
"593.1987","Land in orchards, total (acres)","ALL OTHER COUNTIES"," ID","1987",-9999,"16","998","16998"
"595.1987","Land in orchards, total (acres)","ADAMS COUNTY"," IL","1987",294,"17","001","17001"
"596.1987","Land in orchards, total (acres)","ALEXANDER COUNTY"," IL","1987",-9999,"17","003","17003"
"597.1987","Land in orchards, total (acres)","BOND COUNTY"," IL","1987",104,"17","005","17005"
"598.1987","Land in orchards, total (acres)","BOONE COUNTY"," IL","1987",68,"17","007","17007"
"599.1987","Land in orchards, total (acres)","BROWN COUNTY"," IL","1987",-9999,"17","009","17009"
"600.1987","Land in orchards, total (acres)","BUREAU COUNTY"," IL","1987",13,"17","011","17011"
"601.1987","Land in orchards, total (acres)","CALHOUN COUNTY"," IL","1987",848,"17","013","17013"
"602.1987","Land in orchards, total (acres)","CARROLL COUNTY"," IL","1987",5,"17","015","17015"
"603.1987","Land in orchards, total (acres)","CASS COUNTY"," IL","1987",27,"17","017","17017"
"604.1987","Land in orchards, total (acres)","CHAMPAIGN COUNTY"," IL","1987",104,"17","019","17019"
"605.1987","Land in orchards, total (acres)","CHRISTIAN COUNTY"," IL","1987",19,"17","021","17021"
"606.1987","Land in orchards, total (acres)","CLARK COUNTY"," IL","1987",-9999,"17","023","17023"
"607.1987","Land in orchards, total (acres)","CLAY COUNTY"," IL","1987",29,"17","025","17025"
"608.1987","Land in orchards, total (acres)","CLINTON COUNTY"," IL","1987",17,"17","027","17027"
"609.1987","Land in orchards, total (acres)","COLES COUNTY"," IL","1987",33,"17","029","17029"
